election_event_alias,voting_card_set_alias,voting_card_alias,extended_authentication_code
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910072,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910073,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910074,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910075,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910076,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910077,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910078,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910079,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910080,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910081,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910082,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910083,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910084,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910085,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910086,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910087,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910088,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910089,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910090,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910091,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910092,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910093,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910094,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910095,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910096,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910097,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910098,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910099,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910100,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910101,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910102,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910103,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910104,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910105,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910106,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910107,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910108,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910109,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910110,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910111,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910112,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910113,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910114,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910115,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910116,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910117,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910118,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910119,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910120,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910121,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910122,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910123,1960
candidate_only_5_2,vcs_FR-BZ-1006|FR-MU-2309,330910124,1960
